Name,Address,Phone,Rating,Website
"Human Immobilier Lyon 3 Villette,""239 Rue Paul Bert, 69003 Lyon, France"",+33 4 37 56 27 29,4.9,https://www.human-immobilier.fr/lyon-3-villette?utm_campaign=google_my_business_achat&utm_medium=seo&utm_source=google"
"Agence immobilière Laforêt Lyon 2Eme,""24 bis Pl. Bellecour, 69002 Lyon, France"",+33 4 78 42 25 25,4.5,https://www.laforet.com/agence-immobiliere/lyon2?utm_source=google&utm_medium=mybusiness"
"L'AGENCE | Agence Immobilière Lyon,""119 Rue Garibaldi, 69006 Lyon, France"",+33 4 78 65 65 10,5.0,https://www.lagencell.fr/"
"ORPI,""28 Rue Bossuet, 69006 Lyon, France"",+33 4 78 52 27 77,4.9,https://www.orpi.com/duguesclin.transactions/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%206eme%20arrondissement&utm_content=duguesclin.transactions"
"Orpi Agence Tronel - LYON 6,""109 Rue Vendôme, 69006 Lyon, France"",+33 4 78 24 14 42,4.9,https://www.orpi.com/agencetronel/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%206eme%20arrondissement&utm_content=agencetronel"
"Orpi Immobilière Saint Nizier Lyon 1er,""23 Rue Paul Chenavard, 69001 Lyon, France"",+33 4 78 27 01 99,4.9,https://www.orpi.com/immosaintnizier/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%201er%20arrondissement&utm_content=immosaintnizier"
"Orpi Immo du Quai Lyon 5eme,""7 Quai Fulchiron, 69005 Lyon, France"",+33 4 28 39 10 00,4.5,https://www.orpi.com/immoduquai/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%205eme%20arrondissement&utm_content=immoduquai"
"Orpi Immo Confluence Lyon 2eme,""73 Cr Charlemagne, 69002 Lyon, France"",+33 4 28 29 08 84,4.9,https://www.orpi.com/immoconfluence/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%202eme%20arrondissement&utm_content=immoconfluence"
"Orpi 4F Gestion Immo Saint Nizier Lyon 1er - GESTION LOCATIVE - LOCATION,""23 Rue Paul Chenavard, 69001 Lyon, France"",+33 4 82 83 69 11,4.9,https://www.orpi.com/4fgestion.saintnizier/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon&utm_content=4fgestion.saintnizier"
"Human Immobilier Lyon 4 Croix Rousse,""138 Bd de la Croix-Rousse, 69001 Lyon, France"",+33 4 72 98 30 31,4.8,https://www.human-immobilier.fr/lyon-croix-rousse?utm_campaign=google_my_business_achat&utm_medium=seo&utm_source=google"
"Grand Lyon Immobilier,""25 Rue Vauban, 69006 Lyon, France"",+33 9 81 68 96 89,4.8,http://www.grand-lyon-immobilier.fr/"
"Agence Immobilière Lyon - Citya Bourguignon Palluat,""42 Rue de l'Université, 69007 Lyon, France"",+33 4 72 82 39 60,3.8,https://www.citya.com/agences-immobilieres/lyon-7e-arrondissement-69007/326?utm_campaign=lyon_7e_arrondissement&utm_medium=gmb&utm_source=google"
"Orpi Part Dieu Immobilier Conseil Lyon 3eme,""157 Rue Paul Bert, 69003 Lyon, France"",+33 4 72 84 75 10,4.5,https://www.orpi.com/agence-part-dieu/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%203eme%20arrondissement&utm_content=agence-part-dieu"
"Agence VIAGIMMO LYON - Viager et Nue-propriété,""8 Quai Jules Courmont, 69002 Lyon, France"",+33 4 37 57 51 08,4.9,https://viagimmo.fr/agences-viagimmo/lyon/"
"Orpi Agence du Boulevard Immo Lyon 4eme,""115 Bd de la Croix-Rousse, 69004 Lyon, France"",+33 4 78 29 69 87,4.9,https://www.orpi.com/boulevard?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%204eme%20arrondissement&utm_content=boulevard"
"Guy Hoquet L'Immobilier,""20 Av. Jean Jaurès, 69007 Lyon, France"",+33 4 72 76 70 80,4.8,https://lyon-7.guy-hoquet.com/"
"Agence NOVEA Immobilier Lyon 5,""5 Quai Romain Rolland, 69005 Lyon, France"",+33 4 26 07 10 96,4.9,https://www.novea-immobilier.fr/"
"César et Brutus - Agence immobilière Lyon,""57 Pl. de la République, 69002 Lyon, France"",+33 4 82 53 99 88,4.7,http://www.cesaretbrutus.com/"
"Agence immobilière Guy Hoquet,""72 Rue Tronchet, 69006 Lyon, France"",+33 4 87 91 89 59,4.8,https://lyon-6-rhone.guy-hoquet.com/"
"Orpi Montchat Immobilier Lyon 3eme,""33 Cours Dr Long, 69003 Lyon, France"",+33 4 78 53 28 14,4.9,https://www.orpi.com/montchatimmo/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_lyon%203eme%20arrondissement&utm_content=montchatimmo"
